source,survey,lon,lat,ra,dec,NHI_LOS,f_CNM_LOS,f_WNM_LOS,NHI_CNM_LOS,NHI_WNM_LOS,int_Ts,e_int_Ts,tau_peak,tau_sensitivity,ncomps,EBV_GNILC,e_EBV_GNILC,AV_GNILC,e_AV_GNILC,EBV_2013,AV_2013,ICO10_1,ICO10_2,ICO21,Td,e_Td,qPAH,f_CNM_LOS_KOK14,e_f_CNM_LOS_KOK14,nhi_thin,signhi_thin,rhi,sigrhi,rhi_ctrans,sigrhi_ctrans,fcnm_ctrans,sigfcnm_ctrans,"Note v1, v2, noise"
J0022,21-SPONGE,107.46173032944200,-61.74823928614470,5.60594137686,0.24893373528399600,2.6422479106009300,0.04087185718430840,0.6275341001968410,0.10799357924761800,1.658100665075940,914.225482154968,97.66960835575080,0.025002550194885600,0.000991489885116666,4.0,0.0253352262079715,0.0007061095675453,0.0785392,0.0021889396,0.03255382,0.10091685,33.51399612426760,-0.1054512709379200,-9.62145641096868e-05,18.925838470459000,0.3581669628620150,0.025000000372529,0.06501965085393820,0.03432724520468780,,,,,,,,,
3C018A,21-SPONGE,118.62325487459400,-52.7317182980631,10.211262987748900,10.05138888929800,6.28770244768601,0.5236489181203710,0.4763510818796290,3.29254858419359,2.9951538634924200,144.5297407821590,2.137538901655870,0.6229055747080260,0.0018288934122164000,4.0,0.1610144078731540,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402340,1.581829309463500,-0.2976749837398530,18.21737670898440,0.7942966818809510,0.0419999994337558,0.5813771412192430,0.26372077098552600,,,,,,,,,
3C018B,21-SPONGE,118.61642077207800,-52.71890741144970,10.206184885706700,10.063888863834200,6.273331674455500,0.5251389301205630,0.47486106987943800,3.294370683815000,2.9789609906405000,145.94877663555400,3.3020263855333700,0.6417138438281970,0.0026711668504916900,2.0,0.1610144078731540,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402340,1.581829309463500,-0.2976749837398530,18.21737670898440,0.7942966818809510,0.0419999994337558,0.5712411334615210,0.2581980306259550,,,,,,,,,
3C041A,21-SPONGE,131.37878257436900,-29.07465109447810,21.686792974368100,33.21730554388940,5.463895518397360,0.004445421548852790,0.6305547731138070,0.024289318878163800,3.4452853989205900,706.2169997036110,92.79877048585480,0.03899092998590430,0.0027277881109022200,3.0,0.0544153973460197,0.002150330459699,0.16868773,0.006666024,0.07576871,0.234883,5.707995891571050,-0.0180771816521883,0.0845105424523353,19.71344375610350,0.5434111952781680,0.050000000745058,0.09209809841289000,0.04518733167157770,,,,,,,,,
3C041B,21-SPONGE,131.37385897600900,-29.06984774002340,21.682609220196800,33.2227222009711,5.46877332584057,0.1615686155727570,0.8384313844272440,0.8835821351372800,4.5851911907032900,694.6967147742900,129.0597124059220,0.05709157586324940,0.004103474224351880,3.0,0.0542014352977275,0.0021832911297678,0.16802445,0.0067682024,0.07507346,0.2327277,0.1307196170091630,0.2593037784099580,0.0394195206463336,19.725589752197300,0.5548134446144100,0.0520000010728836,0.09531962065909910,0.04769015496022010,,,,,,,,,
3C48,21-SPONGE,133.96256588379600,-28.719405782696700,24.42208096340000,33.15975916510000,4.269788143620350,0.036668984093598100,0.6061485108307490,0.15656879352144900,2.588125724818260,592.8256200048130,44.96405867043930,0.050358433434062600,0.0009167769891762220,6.0,0.036559734493494,0.0015334946801885,0.11333517,0.004753833,0.0559964,0.17358883,63.5803108215332,1.1189827919006300,-1.2376585006713900,19.666563034057600,0.5763173699378970,0.0199999995529651,0.11733568562374500,0.05512225285792500,,,,,,,,,
4C15.05,21-SPONGE,147.93023691909000,-44.043499010320800,31.210057934800000,15.236400959700000,4.424332496916110,0.08870838355545080,0.2078008782837560,0.3924753841132800,0.9193801786785290,331.2872578458350,13.465394810232400,0.08646305709258970,0.0007961689340296480,6.0,0.0524856150150299,0.0023712024558335,0.1627054,0.0073507275,0.05689266,0.17636724,-57.61455535888670,0.1776396781206130,-0.9968212246894840,17.84372329711910,0.5441093444824220,0.0320000015199184,0.2386862320436810,0.10550810225103500,,,,,,,,,
3C78,21-SPONGE,174.85806946202700,-44.513510799363400,47.10916666640000,4.110833335199980,11.439549241034000,0.3870896728676010,0.33582745358568300,4.428131373464680,3.8417146917844900,125.39045410686900,3.3008552918375700,1.3655868139963300,0.002413102602660880,6.0,0.159549668431282,0.0049729561433196,0.49460396,0.015416164,0.16227399,0.5030494,-40.2529525756836,-0.1839105188846590,-0.9651529788970950,18.771034240722700,0.3973102867603300,0.0529999993741512,0.6614162273403840,0.30443030678193300,,,,,,,,,
4C16.09,21-SPONGE,166.63568163337500,-33.59591844370410,49.740844405600000,16.475749585400000,11.006038163887300,0.39580631565701100,0.3891918967589530,4.35625941562867,4.283460868804710,199.78883172647000,3.4198760244692100,0.5392063925906730,0.0007777057649510600,6.0,0.1563743203878400,0.0081176022067666,0.48476037,0.025164567,0.13885315,0.43044475,43.53982162475590,0.4490902721881870,-0.084875151515007,17.93610382080080,0.6340108513832090,0.0560000017285347,0.40967167016675800,0.1847222073593290,,,,,,,,,
3C111A,21-SPONGE,161.6755261076550,-8.819784470455520,64.58865416440000,38.02661111320000,28.429152794810600,0.6970448301926300,0.2787726885261880,19.81639398237910,7.925271357131140,152.98142059025100,6.768456640604430,0.887893699432441,0.0023270598557175300,12.0,1.6542165279388400,0.0759322494268417,5.1280713,0.23538996,0.82731706,2.5646827,-0.4007911086082460,16.512325286865200,-0.7586432695388790,16.723608016967800,0.504737377166748,0.061999998986721,0.5554574255839350,0.2481170637859460,,,,,,,,,
