id,src,gl,gb,nhi,signhi,thin,sigthin,nhicnm,signhicnm,nhiwnm,signhiwnm,rhi,sigrhi,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl
33,P0820+22,201.3636,29.6761,4.23,0.21,4.2229,0.9384,0.0,0.0,4.23,0.2114,1.0016813090530206,0.2280778894569144,0.0,0.0,,,,,
34,3C333,37.3001,42.9721,5.09,0.33,4.5142,0.043,1.1,0.3239,3.99,0.0814,1.127553054804838,0.0738874577801094,0.2161100196463654,0.065158800864283,,,,,
35,3C192,197.9126,26.4098,3.97,0.04,3.9596,0.0641,0.47,0.0285,3.5,0.0328,1.0026265279321145,0.0191179795617083,0.1183879093198992,0.00727726560646,,,,,
36,3C98,179.8374,-31.049,11.02,0.41,9.9114,1.1649,6.1,0.3974,4.92,0.0959,1.1118509998587485,0.1370684170301238,0.5535390199637024,0.0415280460005763,,,,,
37,3C273,289.9484,64.3586,1.93,0.02,2.0302,0.1078,0.5,0.014,1.43,0.0141,1.0,0.0514298738871093,0.2590673575129534,0.007734735405073,,,,,
38,3C267.0,256.3418,70.1102,2.33,0.03,2.3236,0.3146,0.0,0.0,2.33,0.027,1.0027543467033917,0.1363787940113627,0.0,0.0,,,,,
39,DW0742+10,209.796,16.5911,2.43,0.04,2.4383,0.7975,0.0,0.0,2.43,0.0435,1.0,0.3263713348639639,0.0,0.0,,,,,
40,P1055+20,222.5101,63.1302,1.57,0.04,1.5733,0.0607,0.36,0.0267,1.21,0.0234,1.0,0.0461375583337249,0.2292993630573248,0.0179818192070729,,,,,
41,3C433,74.4772,-17.695,7.89,0.15,7.7887,0.0794,2.83,0.1323,5.06,0.0658,1.0130060215440315,0.0218526893316602,0.358681875792142,0.0181015818959616,,,,,
42,3C172.0,191.2045,13.4105,7.71,0.14,7.5437,0.9696,0.4,0.0609,7.31,0.1219,1.0220448851359412,0.1326689974753009,0.0518806744487678,0.0079548122363539,,,,,
43,P0428+20,176.8082,-18.5568,23.89,2.47,17.6561,0.5939,6.9,2.381,16.99,0.6485,1.3530734420398618,0.1471124907328874,0.2888237756383424,0.1040425702132897,,,,,
44,4C19.44,8.9924,73.0418,2.65,0.04,2.6324,0.5363,0.0,0.0,2.65,0.0449,1.0066859139948336,0.205654696469128,0.0,0.0,,,,,
45,3C353,21.1108,19.877,10.85,0.79,8.8309,0.2239,7.01,0.7826,3.84,0.0867,1.2286403424339536,0.0947271630883833,0.6460829493087558,0.0861135621372055,,,,,
46,3C167,207.3119,1.1529,50.24,2.41,42.9875,0.0537,30.85,2.2877,19.39,0.7583,1.1687118348357082,0.0560818153890043,0.6140525477707006,0.0542321678741002,,,,,
47,3C293,54.6071,76.0603,1.28,0.05,1.2956,0.9682,0.0,0.0,1.28,0.0457,1.0,0.7393084605726996,0.0,0.0,,,,,
48,3C98-2,179.8288,-31.0241,10.25,0.4,9.5056,1.0454,5.06,0.3809,5.19,0.1236,1.0783117320316449,0.1258344255203962,0.4936585365853658,0.041857707475876,,,,,
49,3C105,187.6326,-33.609,14.68,1.47,9.5264,0.6114,11.42,1.4534,3.26,0.2104,1.5409808532079272,0.1832813908318643,0.7779291553133515,0.1259774493191374,,,,,
50,3C120,190.3728,-27.3973,15.94,1.87,9.4217,0.0864,7.9,1.4514,8.04,1.1814,1.69183905240031,0.1990834379770084,0.4956085319949812,0.1080340087276112,,,,,
51,CTA21,166.6357,-33.5961,9.56,0.31,8.8116,0.6781,3.13,0.3008,6.43,0.0862,1.0849334967542783,0.0906008858499904,0.3274058577405857,0.0332073088642694,,,,,
52,3C123,170.5815,-11.6608,27.38,3.38,15.7729,0.8465,7.62,3.2954,19.76,0.7589,1.7358887712468851,0.2336664050532477,0.2783053323593864,0.1251653980493389,,,,,
53,4C20.33,20.1848,66.8341,2.69,0.05,2.6865,0.2204,0.53,0.0292,2.16,0.0394,1.0013028103480364,0.0842286941756075,0.1970260223048327,0.0114561377172996,,,,,
54,T0556+19,190.0893,-2.1665,53.63,31.9,46.3589,0.7926,0.0,0.0,53.63,31.9035,1.1568436697160631,0.6883937042095029,0.0,0.0,,,,,
55,P1117+14,240.438,65.7884,1.57,0.02,1.5417,0.2614,0.0,0.0,1.57,0.0177,1.0183563598624894,0.1731521143135334,0.0,0.0,,,,,
56,3C264.0,236.9959,73.6422,1.73,0.03,1.7598,0.3485,0.0,0.0,1.73,0.0252,1.0,0.1954253738913567,0.0,0.0,,,,,
57,3C208.1,213.6015,33.583,2.76,0.05,2.7851,0.1598,0.0,0.0,2.76,0.0522,1.0,0.0596265017983356,0.0,0.0,,,,,
58,3C208.0,213.6628,33.1608,2.99,0.04,3.0476,0.1619,0.0,0.0,2.99,0.0448,1.0,0.0537469385976801,0.0,0.0,,,,,
59,4C32.44,67.2401,81.0438,1.05,0.03,1.128,0.521,0.14,0.017,0.91,0.0273,1.0,0.4307627697112015,0.1333333333333333,0.0166326182824504,,,,,
60,3C263.1,228.2701,74.3753,1.68,0.05,1.6732,0.3024,0.0,0.0,1.68,0.0462,1.0040640688501077,0.1839100544900392,0.0,0.0,,,,,
61,3C225b,220.0116,44.0083,3.28,0.06,3.2582,0.0506,0.86,0.0459,2.42,0.0434,1.0066908108771715,0.0241564813937769,0.2621951219512195,0.0147930166272647,,,,,
62,3C410,69.209,-3.7684,48.22,3.47,39.0202,1.3028,15.44,3.4045,32.78,0.6735,1.2357701908242396,0.0980336902685065,0.3201990875155537,0.0742683719176527,,,,,
63,P0347+05,182.2737,-35.7311,13.45,0.76,11.3822,0.6992,7.27,0.7487,6.18,0.1424,1.1816696245014144,0.0986282433094106,0.5405204460966543,0.0634939303712137,,,,,
64,3C272.1,280.6321,74.6873,2.39,0.03,2.426,0.3032,0.36,0.0218,2.03,0.0248,1.0,0.1237442235792657,0.1506276150627614,0.0093152379344367,,,,,
65,3C225a,219.8664,44.0247,3.4,0.14,3.3469,0.0392,1.51,0.1353,1.89,0.0228,1.0158654277092234,0.0434890129573984,0.4441176470588235,0.0437949013231443,,,,,
66,4C07.32,322.2286,68.835,2.11,0.03,2.0761,0.2568,0.32,0.0219,1.79,0.0244,1.01632869322287,0.1265409822998354,0.1516587677725118,0.0106007669164339,,,,,
67,3C245,233.1247,56.3009,2.03,0.03,2.1298,0.1329,0.48,0.0262,1.55,0.0225,1.0,0.061121449381126,0.2364532019704433,0.0133710871027696,,,,,
68,3C93.1,160.0361,-15.9147,12.32,1.04,9.6239,0.8153,3.5,0.9868,8.82,0.337,1.2801463024345638,0.1530983329533898,0.284090909090909,0.0836105007962704,,,,,
69,3C348,22.971,29.1769,5.69,0.16,5.2943,0.0605,1.55,0.152,4.14,0.0467,1.074740758929415,0.0326213800850219,0.2724077328646748,0.0277900698300848,,,,,
70,4C13.67,43.4971,9.154,16.72,0.87,13.7282,0.1657,3.96,0.7404,12.76,0.4632,1.2179309741990938,0.0650558759149614,0.2368421052631579,0.0459651598518989,,,,,
71,3C286,56.5295,80.674,2.04,0.09,2.1072,2.337,0.0,0.0,2.04,0.0917,1.0,1.0745353532525332,0.0,0.0,,,,,
72,4C13.65,39.3151,17.718,9.16,0.14,8.6619,0.1212,1.45,0.1214,7.71,0.0613,1.057504704510558,0.0219130852605467,0.158296943231441,0.0134722948222568,,,,,
73,3C190.0,207.6242,21.8412,2.82,0.04,2.941,0.8069,0.0,0.0,2.82,0.0411,1.0,0.2634258557530828,0.0,0.0,,,,,
74,P0320+05,176.9818,-40.8433,11.2,0.48,9.9975,0.7438,5.05,0.3183,6.15,0.361,1.1202800700175042,0.096186899243371,0.4508928571428571,0.0343670232547608,,,,,
75,3C274.1,269.8744,83.1637,2.36,0.04,2.286,0.1201,0.3,0.0193,2.06,0.0293,1.032370953630796,0.0569905174453369,0.1271186440677966,0.0084570224923928,,,,,
76,3C207,212.968,30.139,5.25,0.15,4.9461,0.0969,0.91,0.1267,4.34,0.087,1.0614423485170132,0.0367716074428362,0.1733333333333333,0.0246362305330032,,,,,
77,T0629+10,201.5315,0.5079,59.25,2.86,45.1748,0.1705,37.02,2.5766,22.23,1.2404,1.3115719383373032,0.0635028645450598,0.6248101265822785,0.0529217756933697,,,,,
78,3C223,188.4047,48.659,1.0421,1.2825,1.0421,1.2825,0.0,0.0,1.0421,1.2825,1.0,1.7404557084190524,0.0,0.0,,,,,
