source,survey,glon,glat,nhithin,signhithin,nhi,signhi,rhi,sigrhi,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,ew,sigew,taupeak
J16580,MACH,73.714,38.439,1.66,0.04,1.67,0.04,1.01,0.03,0.05,0.03,1.0,0.0178197573198354,0.055001400411129,0.0534871104630314,"-25.0, 10.0, 0.0",0.18376849851817412,0.017731445009025015,0.0679901889017769
J16582,MACH,62.883,37.929,1.73,0.09,1.73,0.09,1.0,0.08,0.0,0.01,1.0,0.0031082275682233,0.0034725703299045,0.0307330159637524,"-25.0, 25.0, 0.0",0.06181780717543448,0.026277336945284422,0.028371131724192047
J17024,MACH,83.347,37.317,1.36,0.06,1.36,0.06,1.0,0.06,0.02,0.03,1.0,0.0023696337231583,0.0263530761003494,0.0422630409113865,"-50.0, 40.0, 0.0",0.07823824894733049,0.05346464843279728,0.02982112032674831
J17025,MACH,77.079,37.6,1.76,0.14,1.77,0.14,1.01,0.11,0.0,0.02,1.021759271621704,0.0311365111786108,0.0034725703299045,0.1461033289554557,"-30.0, 10.0, 0.0",0.1522031438956168,0.01489932275541049,0.0825301218420678
J17054,MACH,79.516,37.094,2.21,0.16,2.32,0.17,1.05,0.1,0.13,0.07,1.0515188574790957,0.4168271181046619,0.2017042264342308,0.1801222276543556,"-26.0, 15.0, 0.0",0.6544111851007186,0.04000724064468396,0.39916246177462283
J17104A,MACH,71.763,36.23,2.31,0.13,2.55,0.14,1.1,0.08,0.24,0.11,1.073095679283142,0.5324613251092463,0.2421748787164688,0.1724550632129358,"-28.0, 17.0, 0.0",1.1413980275586788,0.027029972082643555,0.7001849573205581
J17104B,MACH,71.763,36.227,2.31,0.13,2.53,0.14,1.09,0.08,0.2,0.09,1.0731752514839172,0.8736522306744721,0.2431004121899604,0.1656471112599036,"-31.0, 15.0, 0.0",0.9544724842394792,0.033612767274772797,0.6869523266670079
J17195,MACH,93.806,34.144,2.7,0.09,2.7,0.09,1.0,0.05,0.0,0.01,1.0,0.0020593184900559,0.0034725703299045,0.0038960010564108,"-50.0, 40.0, 0.0",0.20387762330684595,0.06979389978532312,0.03582317424222324
J17233,MACH,79.919,34.35,2.68,0.09,2.71,0.09,1.01,0.05,0.0,0.01,1.0071816444396973,0.022087897966741,0.0362763404846191,0.1267586442045685,"-10.0, 10.0, 0.0",0.3399173765976736,0.03061622297309056,0.09779836169795282
J17251B,MACH,65.568,33.018,2.73,0.18,2.77,0.18,1.02,0.09,0.03,0.03,1.005315899848938,0.0109263112820496,0.0526781603693962,0.0489666920701477,"-15.0, 18.0, 0.0",0.37984964855621933,0.05713439552708608,0.1943825864158085
J17251A,MACH,65.569,33.016,2.73,0.18,2.76,0.18,1.01,0.09,0.01,0.03,1.005315899848938,0.0109263112820496,0.0526781603693962,0.0489666920701477,"-15.0, 18.0, 0.0",0.38591737577381763,0.029202895749458706,0.19033844563670166
J17304,MACH,75.772,33.068,2.39,0.15,2.5,0.15,1.04,0.09,0.12,0.06,1.0916773676872251,0.829321369099591,0.183102086186409,0.1557464873957834,"-38.0, 13.0, 0.0",0.5617569337746141,0.024168399955014797,0.3088395335877885
J17305,MACH,62.989,31.515,3.28,0.11,3.34,0.11,1.02,0.05,0.08,0.05,1.007993221282959,0.0174562467908388,0.0701460652053356,0.1621971390997287,"-20.0, 20.0, 0.0",0.5027795063191239,0.04234636026554367,0.2806093415420075
J17395,MACH,74.222,31.396,2.08,0.12,2.1,0.12,1.01,0.08,0.01,0.02,1.007768630981445,0.0216059967094901,0.0384046286344528,0.1066820455077245,"-10.0, 10.0, 0.0",0.20577043752593538,0.018256418376163232,0.10194034421161821
J17403,MACH,79.563,31.748,2.89,0.07,2.93,0.07,1.02,0.03,0.01,0.02,1.0115211009979248,0.0069572536016755,0.0307313799858093,0.0256025457405883,"-14.0, 12.0, 0.0",0.4322961484131574,0.03159538692863411,0.17019339847506593
J17422,MACH,81.77,31.613,3.12,0.1,3.16,0.1,1.01,0.05,0.06,0.03,1.0172576904296875,0.0153696516550955,0.1346647292375564,0.1254364785540277,"-15.0, 15.0, 0.0",0.32734701948214256,0.04469072785293676,0.08757841259912764
