source,survey,lon,lat,tau,e_tau,fwhm_abs,e_fwhm_abs,v_abs,e_v_abs,Tb,e_Tb,fwhm_em,e_fwhm_em,v_em,e_v_em,NHI,e_NHI,Ts,e_Ts,ncomps,NHI_LOS,f_CNM_LOS,f_CNM_LOS_KOK14,e_f_CNM_LOS_KOK14,f_WNM_LOS,NHI_CNM_LOS,NHI_WNM_LOS,int_Ts,EBV_GNILC,e_EBV_GNILC,AV_GNILC,e_AV_GNILC,EBV_2013,AV_2013,ICO10_1,ICO10_2,ICO21,Td,e_Td,qPAH
1055+018,21-SPONGE,-108.48939475695454,52.773982679867814,0.006418089764685941,0.00021061788257274757,7.0614050158803146,0.2533794334354352,-7.276517608204224,0.1093717782616211,6.014311198916024,0.0,7.0437515138100455,0.0,-6.843068507007743,0.0,0.827511222886406,0.04849878162787421,941.3447118143986,30.798667034470558,1.0,2.9431379832542413,0.0,0.00387820624033642,0.01813973967456365,0.7188336980478832,0.0,2.115626760367835,2540.3351386871745,0.0255121514201164,0.0003726569702848,0.07908767,0.0011552366,0.036975175,0.11462304,16.98748779296875,5.668996810913086,-10.984881401062012,19.1494197845459,0.1883280724287033,0.0460000000894069
3C018A,21-SPONGE,118.62325487459353,-52.7317182980631,0.5653542569334242,0.006561946363587117,2.459576158419877,0.019208588234467958,-9.14185072447151,0.004865720945763916,6.904528844299602,0.0,2.9760871516878957,0.0,-10.272452142099706,0.0,0.481064711290275,0.04049620520213381,17.835868526190396,1.4805517272129454,4.0,6.28770244768601,0.5236489181203713,0.5813771412192426,0.26372077098552604,0.4763510818796287,3.29254858419359,2.9951538634924204,144.5297407821594,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558
3C018A,21-SPONGE,118.62325487459353,-52.7317182980631,0.1344337725343061,0.002976955349665884,5.489022166886642,0.16556715332829863,-6.190595634580665,0.11759097439950161,25.18255470143801,0.0,6.006049055868402,0.0,-5.47721901299503,0.0,2.811483872903315,0.13096145224430078,196.42824175978907,5.449174873509361,4.0,6.28770244768601,0.5236489181203713,0.5813771412192426,0.26372077098552604,0.4763510818796287,3.29254858419359,2.9951538634924204,144.5297407821594,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558
3C018A,21-SPONGE,118.62325487459353,-52.7317182980631,0.08406375932454457,0.003264814768757158,1.491306431640654,0.06251029338893384,-4.954399036758801,0.020768842391248377,,,,,,,,,,,4.0,6.28770244768601,0.5236489181203713,0.5813771412192426,0.26372077098552604,0.4763510818796287,3.29254858419359,2.9951538634924204,144.5297407821594,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558
3C018A,21-SPONGE,118.62325487459353,-52.7317182980631,0.0074356660121217555,0.0027065476612576503,0.7457831683818114,0.31345678134704164,24.3676697919236,0.13311283917109765,,,,,,,,,,,4.0,6.28770244768601,0.5236489181203713,0.5813771412192426,0.26372077098552604,0.4763510818796287,3.29254858419359,2.9951538634924204,144.5297407821594,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558
3C018B,21-SPONGE,118.61642077207802,-52.71890741144974,0.5243650157163404,0.003100461482037268,2.407913780204239,0.014013971447450221,-8.976387475240081,0.004214825863018799,6.564561323934517,0.8904593042798294,2.6779410485529427,0.2659445610020123,-10.264444726203859,0.34610945976430074,0.40791994620433675,0.06095687955376374,16.65604954227877,2.485131653904691,2.0,6.273331674455503,0.5251389301205625,0.5712411334615208,0.2581980306259552,0.47486106987943755,3.294370683814999,2.9789609906405037,145.94877663555366,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558
3C018B,21-SPONGE,118.61642077207802,-52.71890741144974,0.14880011942432825,0.0020436931569814553,6.160155060511587,0.05849457348843577,-6.774723331679127,0.0487960503841556,22.468452437875637,0.45144069969628625,6.993933482533537,0.04057800695637918,-6.669918037481772,0.02177390199640935,2.8864507376106627,0.09963874901101769,162.34575205893722,4.904858891051467,2.0,6.273331674455503,0.5251389301205625,0.5712411334615208,0.2581980306259552,0.47486106987943755,3.294370683814999,2.9789609906405037,145.94877663555366,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558
3C041A,21-SPONGE,131.37878257436896,-29.07465109447808,0.032940597983621034,0.0006244278918630838,8.871778425162544,0.16242071465524413,-1.3878317903108133,0.08363020875003654,11.362726789833124,0.0,9.52429130894753,0.0,-1.3843622108347828,0.0,1.994320800598606,0.06665030694777445,351.8232667724152,7.230768799568455,3.0,5.463895518397364,0.004445421548852794,0.09209809841289002,0.04518733167157768,0.6305547731138066,0.024289318878163848,3.4452853989205945,706.2169997036109,0.0544153973460197,0.002150330459699,0.16868773,0.006666024,0.07576871,0.234883,5.707995891571045,-0.0180771816521883,0.0845105424523353,19.71344375610352,0.5434111952781677,0.050000000745058
3C041A,21-SPONGE,131.37878257436896,-29.07465109447808,0.010528512137308432,0.0015956575582689264,1.2067547073594038,0.22439241607991506,1.8338212538990704,0.08664196382143573,1.0142336401762218,0.0,1.3304285051479237,0.0,1.8292367007642876,0.0,0.024289318878163848,0.007073289578171174,98.56007745775352,16.272185865314146,3.0,5.463895518397364,0.004445421548852794,0.09209809841289002,0.04518733167157768,0.6305547731138066,0.024289318878163848,3.4452853989205945,706.2169997036109,0.0544153973460197,0.002150330459699,0.16868773,0.006666024,0.07576871,0.234883,5.707995891571045,-0.0180771816521883,0.0845105424523353,19.71344375610352,0.5434111952781677,0.050000000745058
3C041A,21-SPONGE,131.37878257436896,-29.07465109447808,0.02918312179350857,0.0009274121980819267,1.7454582601172706,0.06414157882078361,-30.528353393390578,0.027192739380078493,,,,,,,,,,,3.0,5.463895518397364,0.004445421548852794,0.09209809841289002,0.04518733167157768,0.6305547731138066,0.024289318878163848,3.4452853989205945,706.2169997036109,0.0544153973460197,0.002150330459699,0.16868773,0.006666024,0.07576871,0.234883,5.707995891571045,-0.0180771816521883,0.0845105424523353,19.71344375610352,0.5434111952781677,0.050000000745058
3C041B,21-SPONGE,131.37385897600882,-29.06984774002336,0.04193092566682366,0.0011545629824803055,7.136224235457918,0.218032404877014,-1.3268091891641873,0.09178978514707566,6.177784027651289,0.0,7.86768721959027,0.0,-1.323378179350934,0.0,0.8733362458422443,0.04778202103647646,150.47011409887705,5.428946724110226,3.0,5.46877332584057,0.1615686155727565,0.09531962065909914,0.04769015496022006,0.8384313844272435,0.8835821351372801,4.5851911907032905,694.6967147742904,0.0542014352977275,0.0021832911297678,0.16802445,0.0067682024,0.07507346,0.2327277,0.1307196170091629,0.2593037784099579,0.0394195206463336,19.725589752197266,0.5548134446144104,0.0520000010728836
3C041B,21-SPONGE,131.37385897600882,-29.06984774002336,0.02228036619427254,0.002148004059887373,1.654844128603393,0.18530861422972356,-10.504621485281287,0.07817500648816383,0.3153848983262808,0.0,1.8241219202754297,0.0,-10.478359931566679,0.0,0.010245889295035792,0.002795535312902063,14.326560712335551,3.2860728569569577,3.0,5.46877332584057,0.1615686155727565,0.09531962065909914,0.04769015496022006,0.8384313844272435,0.8835821351372801,4.5851911907032905,694.6967147742904,0.0542014352977275,0.0021832911297678,0.16802445,0.0067682024,0.07507346,0.2327277,0.1307196170091629,0.2593037784099579,0.0394195206463336,19.725589752197266,0.5548134446144104,0.0520000010728836
