NVSS,Name,Rej,RAJ2000,DEJ2000,S1.4GHz,Beam1,Beam2,errTau,TauPk,e_TauPk,Taudv,e_Taudv,Nf,NHIthin,e_NHIthin,NHIiso,e_NHIiso,NHItot,e_NHItot,NHICNM,NHIUNM,fCNM,e_fCNM,fUNM,e_fUNM,SimbadName,NED,recno,rhi,sigrhi,nhicnm,signhicnm,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,lon,lat,ew,sigew,taupeak
1,3C138,,05 21 10.0,+16 38 22.1,8.6,14.5,5.1,1.0,1.115,0.003,5.949,0.005,8,18.55,0.18,21.32,0.2,20.82,2.21,7.16,0.89,0.34,0.12,0.04,0.07,3C 138,NED,18,1.122372031211853,0.11975046,8.050000190734863,0.4023679792881012,0.3866474691993423,0.0453643863668093,1.5911836624145508,0.2555360953079961,0.7505193650722504,0.0909939303284351,"-80.0, 80.0, 0.0",-172.594875098602,-11.3432165624757,5.985088637565431,0.011089662871899391,1.1166131253427296
1,PKS0531,,05 34 44.5,+19 27 21.4,7.02,1.3,1.1,0.5,0.535,0.002,3.313,0.003,10,25.13,0.36,27.1,0.39,27.15,1.74,1.61,14.65,0.06,0.26,0.54,0.07,PKS 0531+19,NED,19,1.080381989479065,0.07124112,1.7599999904632568,0.4209513366222381,0.0648250466000754,0.0160516182908504,1.749630093574524,0.2997558656567301,0.7680865228176117,0.0779161655445358,"-80.0, 80.0, 0.0",-173.238255193127,-7.10768630158733,3.3315632743635817,0.005799093231743211,0.5398968338676737
1,3C147,,05 42 36.1,+49 51 07.2,22.88,4.4,3.8,0.5,0.796,0.001,5.004,0.002,9,17.26,0.33,18.71,0.35,18.43,1.5,7.14,0.0,0.39,0.18,,0.04,3C 147,NED,20,1.0677868127822876,0.08956292,7.139999866485596,0.8861715793609619,0.3874118148810034,0.0574995085584121,1.0607243180274963,0.6416500703518911,0.5385355651378632,0.1130515642112828,"-90.0, 35.0, 0.0",161.68636523812,10.298331986452,4.999839824441062,0.004823533700618072,0.7965508974068276
1,3C154,,06 13 49.0,+26 04 36.7,5.0,13.7,12.8,0.7,1.704,0.004,14.759,0.006,8,34.11,0.05,46.48,0.07,38.87,10.88,2.26,26.6,0.06,0.38,0.68,0.32,3C 154,NED,21,1.139548420906067,0.3189766,2.2699999809265137,1.3472193479537964,0.0583997952998256,0.0383209910575613,1.9346119165420528,0.2685617410990559,0.7861227691173553,0.0345653421276311,"-80.0, 80.0, 0.0",-174.408361604057,4.00214251326461,14.76671852031507,0.011584137002917395,1.7090007940638363
1,PKS0742,,07 45 33.1,+10 11 12.7,3.51,1.9,1.4,0.6,0.011,0.001,0.028,0.003,1,3.13,0.19,3.13,0.2,3.11,0.09,0.09,0.0,0.03,0.05,,0.25,PKS 0742+10,NED,22,1.0,0.06969723,0.0900000035762786,0.0099999997764825,0.0289389088784858,0.0033227032671696,1.0018012523651123,0.0024076667917445,0.1329315602779388,0.0410014073348877,"-80.0, 80.0, 0.0",-150.203449761152,16.5919352528973,0.030434958060417162,0.005264961716759727,0.010743003452746406
1,3C225A,,09 42 15.3,+13 45 51.3,3.34,4.5,1.6,1.2,0.828,0.002,1.487,0.005,5,3.53,0.03,3.65,0.03,3.63,0.1,0.42,0.64,0.12,0.08,0.18,0.4,3C 225,NED,23,1.0283286571502686,0.029646017,1.059999942779541,0.0574456267058849,0.2920109943144723,0.017752473306744,1.0537205338478088,0.0136432298235046,0.4464223980903625,0.0527153330857542,"-80.0, 80.0, 0.0",-139.990483656351,44.0079870312218,1.5432070537419227,0.010062368622952789,0.8445307690712072
1,3C225B,,09 42 15.6,+13 45 49.3,3.34,4.5,1.6,2.3,0.791,0.004,1.434,0.009,5,3.53,0.03,3.65,0.03,3.65,0.13,0.62,1.0,0.17,0.14,0.27,0.71,3C 225,NED,24,1.0339943170547483,0.03786109,1.6200000047683716,0.0734846889972686,0.4438356061481944,0.0255972104351947,1.0537205338478088,0.0136432298235046,0.4464223980903625,0.0527153330857542,"-80.0, 80.0, 0.0",-139.989074177396,44.0088672468336,1.593329069761769,0.017933915025415196,0.8044166098054311
1,3C236,,10 06 01.8,+34 54 10.4,3.24,4.8,1.8,0.6,0.003,0.001,0.001,0.003,1,0.78,0.15,0.78,0.15,0.78,0.15,0.0,0.0,,0.2,,0.99,3C 236,NED,25,1.0,0.27196416,0.0,0.0,0.0,0.0,1.002657949924469,0.0419056049114841,0.0022862870246171,0.233535295279867,"-80.0, 80.0, 0.0",-169.935431024057,53.9804658190971,0.003020541598841729,0.00528126654650388,0.0027656617394727708
1,3C237,,10 08 00.0,+07 30 16.6,6.52,6.5,4.4,1.0,0.41,0.001,0.624,0.004,3,2.16,0.03,2.19,0.03,2.19,0.08,0.13,0.63,0.06,0.11,0.29,0.57,3C 237,NED,26,1.0138888359069824,0.039623715,0.7599999904632568,0.050000000745058,0.3470319500483695,0.0261144078121347,1.01322740316391,0.0047379518295407,0.2296998500823974,0.0655929203380822,"-80.0, 80.0, 0.0",-127.883068199084,46.6272733031813,0.6768137233880013,0.008641175096389002,0.41286029417005143
1,3C245A,,10 42 44.6,+12 03 31.3,3.31,1.6,1.4,1.3,0.016,0.002,0.051,0.005,2,2.19,0.13,2.2,0.13,2.19,0.09,0.0,0.4,,0.15,0.18,0.73,3C 245,NED,27,1.0,0.072198115,0.4000000059604645,0.050000000745058,0.1826483997759083,0.0240332760419386,1.024161517620087,0.0168155802200539,0.2925994098186493,0.0850205178425316,"-80.0, 80.0, 0.0",-126.875714753174,56.3004560074598,0.03896881987485533,0.011045776349057134,0.016578307110645864
