source,survey,lon,lat,ra,dec,NHI_LOS,f_CNM_LOS,f_WNM_LOS,NHI_CNM_LOS,NHI_WNM_LOS,int_Ts,e_int_Ts,tau_peak,tau_sensitivity,ncomps,EBV_GNILC,e_EBV_GNILC,AV_GNILC,e_AV_GNILC,EBV_2013,AV_2013,ICO10_1,ICO10_2,ICO21,Td,e_Td,qPAH,f_CNM_LOS_KOK14,e_f_CNM_LOS_KOK14
J0022,21-SPONGE,107.46173032944158,-61.74823928614473,5.60594137686,0.24893373528399598,2.6422479106009282,0.04087185718430843,0.6275341001968411,0.10799357924761847,1.658100665075937,914.225482154968,97.66960835575078,0.025002550194885557,0.000991489885116666,4.0,0.0253352262079715,0.0007061095675453,0.0785392,0.0021889396,0.03255382,0.10091685,33.51399612426758,-0.1054512709379196,-9.621456410968676e-05,18.925838470458984,0.3581669628620147,0.025000000372529,0.06501965085393817,0.03432724520468775
3C018A,21-SPONGE,118.62325487459353,-52.7317182980631,10.211262987748949,10.05138888929795,6.28770244768601,0.5236489181203713,0.4763510818796287,3.29254858419359,2.9951538634924204,144.5297407821594,2.137538901655873,0.6229055747080255,0.0018288934122164034,4.0,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558,0.5813771412192426,0.26372077098552604
3C018B,21-SPONGE,118.61642077207802,-52.71890741144974,10.206184885706737,10.063888863834238,6.273331674455503,0.5251389301205625,0.47486106987943755,3.294370683814999,2.9789609906405037,145.94877663555366,3.3020263855333725,0.6417138438281967,0.0026711668504916905,2.0,0.1610144078731537,0.0101322047412395,0.49914464,0.031409834,0.1564061,0.4848589,-34.84092712402344,1.581829309463501,-0.2976749837398529,18.21737670898437,0.7942966818809509,0.0419999994337558,0.5712411334615208,0.2581980306259552
3C041A,21-SPONGE,131.37878257436896,-29.07465109447808,21.686792974368128,33.21730554388935,5.463895518397364,0.004445421548852794,0.6305547731138066,0.024289318878163848,3.4452853989205945,706.2169997036109,92.79877048585475,0.03899092998590431,0.0027277881109022233,3.0,0.0544153973460197,0.002150330459699,0.16868773,0.006666024,0.07576871,0.234883,5.707995891571045,-0.0180771816521883,0.0845105424523353,19.71344375610352,0.5434111952781677,0.050000000745058,0.09209809841289002,0.04518733167157768
3C041B,21-SPONGE,131.37385897600882,-29.06984774002336,21.682609220196795,33.2227222009711,5.46877332584057,0.1615686155727565,0.8384313844272435,0.8835821351372801,4.5851911907032905,694.6967147742904,129.0597124059218,0.05709157586324942,0.004103474224351882,3.0,0.0542014352977275,0.0021832911297678,0.16802445,0.0067682024,0.07507346,0.2327277,0.1307196170091629,0.2593037784099579,0.0394195206463336,19.725589752197266,0.5548134446144104,0.0520000010728836,0.09531962065909914,0.04769015496022006
3C48,21-SPONGE,133.96256588379606,-28.719405782696686,24.42208096339999,33.15975916509999,4.269788143620353,0.036668984093598145,0.6061485108307485,0.15656879352144867,2.588125724818263,592.8256200048132,44.96405867043929,0.050358433434062634,0.0009167769891762217,6.0,0.036559734493494,0.0015334946801885,0.11333517,0.004753833,0.0559964,0.17358883,63.5803108215332,1.1189827919006348,-1.2376585006713867,19.666563034057617,0.5763173699378967,0.0199999995529651,0.11733568562374488,0.05512225285792502
4C15.05,21-SPONGE,147.93023691909016,-44.043499010320794,31.210057934800002,15.236400959699996,4.424332496916111,0.08870838355545083,0.2078008782837556,0.3924753841132798,0.9193801786785292,331.2872578458345,13.465394810232443,0.08646305709258968,0.0007961689340296476,6.0,0.0524856150150299,0.0023712024558335,0.1627054,0.0073507275,0.05689266,0.17636724,-57.61455535888672,0.1776396781206131,-0.9968212246894836,17.84372329711914,0.5441093444824219,0.0320000015199184,0.2386862320436809,0.10550810225103516
3C78,21-SPONGE,174.85806946202734,-44.513510799363395,47.10916666640002,4.110833335199983,11.439549241034044,0.3870896728676012,0.33582745358568267,4.428131373464684,3.8417146917844915,125.39045410686897,3.3008552918375673,1.3655868139963272,0.002413102602660877,6.0,0.159549668431282,0.0049729561433196,0.49460396,0.015416164,0.16227399,0.5030494,-40.2529525756836,-0.1839105188846588,-0.9651529788970948,18.771034240722656,0.3973102867603302,0.0529999993741512,0.6614162273403836,0.30443030678193306
4C16.09,21-SPONGE,166.63568163337496,-33.59591844370406,49.740844405599994,16.475749585399996,11.006038163887268,0.39580631565701063,0.3891918967589527,4.35625941562867,4.283460868804707,199.78883172646968,3.4198760244692066,0.5392063925906729,0.0007777057649510598,6.0,0.1563743203878402,0.0081176022067666,0.48476037,0.025164567,0.13885315,0.43044475,43.53982162475586,0.4490902721881866,-0.084875151515007,17.93610382080078,0.6340108513832092,0.0560000017285347,0.40967167016675815,0.1847222073593289
3C111A,21-SPONGE,161.6755261076553,-8.819784470455522,64.58865416440001,38.02661111319998,28.429152794810648,0.6970448301926303,0.2787726885261875,19.81639398237913,7.925271357131141,152.98142059025088,6.768456640604433,0.887893699432441,0.0023270598557175283,12.0,1.6542165279388428,0.0759322494268417,5.1280713,0.23538996,0.82731706,2.5646827,-0.4007911086082458,16.512325286865234,-0.7586432695388794,16.723608016967773,0.504737377166748,0.061999998986721,0.5554574255839353,0.2481170637859459
